Vintage Vibe,,,Retro Linear,,,Schaff/Howard,,,Hardware/McMaster,,,Mouser/CEDist,,,CVK/KRSS,,,Fabricators + Paint,,,ULINE,
Item,Notes,,Item,Notes,,Item,Notes,,Item,Notes,,Item,Notes,,Item,Notes,,Item,Notes,,Item,Notes
106 Logos,,,,,,,,,Wood Filler,,,,,,,,,,,,,
3 packs #5 reeds,,,Washers for grommet assembely ,,,,,,,,,,,,,,,,,,,
4 packs #6 reeds ,,,Grommets for grommet assembely ,,,,,,,,,,,,,,,,,,,
3 packs #2,,,screws for grommet assembely,,,,,,,,,,,,,,,,,,,
5 packs #3,,,,,,,,,,,,,,,,,,,,,,
1 pack # 4,,,,,,,,,,,,,,,,,,,,,,
1 pack #1,,,,,,,,,,,,,,,,,,,,,,
suitcase sustain rod bushing,,,,,,,,,,,,,,,,,,,,,,
graduated hammer tips,,,,,,,,,,,,,,,,,,,,,,
