Model,Last QC,Notes,History
RHODES,,,
71 Suitcase,Pre 2025,Needs Action Setup & Electronics (+ damper rail not grounded),
88 MKII Suitcase,Pre 2025,Marked for QC May 2026,
MKV,Pre 2025,,
Mk8,Early 2025,Needs firmware Update,
Jetsons Rhodes,Upcoming,Needs frankenstein?,
Sparkletop Rhodes,Upcoming,Needs Frankenstein?,
Amtrak Rhodes,Upcoming,Needs Cosmetic Restoration,
Paulina '72,Upcoming,Possible Early MKI Rental,
Pre Piano,Upcoming,Needs Toy Piano Parts,
,,,
,,,
WURLITZER,,,
146B,May 2026,Uneven Damper Drop,
Red 200,Pre 2025,Action Uneven,
Hot Dog,2025,,
215VA,2025,,
Orange 106P,2025,Some keys not returning,
Tan 106P,Upcoming,Awaiting Restoration (sold former to Mike Gordon),
Wurlitzer 112,Upcoming,,
Wurlitzer 120 (Mahogany),Upcoming,,
,,,
,,,
Hohner + Strings,,,
Proto Whammy,2025,Custom Shop Refinish,
Museum Pianet N,Upcoming,Amplifier + Setup,
Cembalet,Upcoming,,
CP-70,Upcoming,Showroom model reserved yet,
Helpinstill Electric Grand,Upcoming,TBD,
Clavinet Pianet Duo,Upcoming,Custom Shop Refinish,
,,,
,,,
ORGANS,,,
Hammond B3,April 2026,,Fully serviced by Paul in April 2026.
Vox Continental,Pre 2025,Needs bushing replacement,
Acetone Top 5,Pre 2025,,
Acetone Top 1,Pre 2026,Not turning on?,
Howard Combo,Pre 2025,,Fully serviced @ Treehouse
Rheem Kee Bass,Pre 2028,,
Solina,2025,,Only lightly serviced
Gibson G101,Upcoming,Finish Case Repairs,
Gibson G201 (or Lowry?),Upcoming,,
Fender Contempo,Pre 2025,Scratchy Volume Pedal,
Farfisa Compact Series,Upcoming,Model TBD,
Farfisa Transicord,Upcoming,,
Yamaha YC 45D,Upcoming,Needs legs? Will it fit YC25?,
Yamaha YC 25D,Upcoming,,
Maestro EP,Upcoming,,
RMI,Upcoming,Model TBD,
,,,
,,,
"MELLOTRON, SYNTH, & RARITIES",,,
Mellotron Module,NA,,
Melltotron Micro,NA,,
Mellotron Mini,NA,,
Mellotron M4000D,NA,,
Mellotron M400,Pre 2025,Check Motor,
Optigan,2025,,
MiniMoog,,Tuning stability factory update?,
Arp Odessey,,,Belongs to Mike.
Yamaha E70,Upcoming,Presets not Working. ,Possible Modification (Link)
Vibrachime,Pre-2020,,
Clavioline,Pre-2020,Amplifier @ Max's,
Wurlitzer Sideman,Pre-2020,1-2 voices not working.,
Phillips Philicorda,Upcoming,Start with duplicate model that we can sell,
Farfisa Syntacordian,Upcoming,Probably will never sell if we don't restore it first...,
,,,
,,,
AMPLIFIERS,,,
RI Twin Reverb x2,Pre 2020,Reverb/Vibrato Channel Issues?,
"Fender Twin Reverb (Silverface 15"")",May 2026,Needs grill baffle ,Fixed Missing Cathode Connection & Filament Cold Connection. Fully Recapped (orange drop + silver mica) by prior owner.
Fender Pro Reverb,,Extremely dirty pots. Some lost spots on pot traces. Random noisy crackles.,"Had issues at treehouse, but working fine now."
Ampeg B15,2025,,Re-capped. Modified outputs for 2x15 cab in early 2026.
Ampeg Gemini II (Kane),May 2026,Trade-in TBD. Reverb Seems Low?,Electrolytics Replaced. Squeeling sound May 2026 went away after cleaning Reverb RCA's.
Ampeg Gemini II (CEPCo),Pre 2020,Re-capped. Needs troubleshooting.,"Re-capped according to an alternate schematic, then reverted..."
,,,
Gibson GA95 (Kane Trade),Upcoming,Trade-in TBD. Reverb and Vibrato not functioning. Scratchy pots/,
Ampeg Multi-Channel,Never,,
Farfisa Towers,Upcoming,Needs inspection,
Farfisa Leslie,Upcoming,,
Janus Satellites,Pre-2025,,
Peterson Satellites,Upcoming,Wall mounted???,
Leslie 122,April 2026,,
Leslie 825,Pre 2025,,Kellen used w/ Francis
Leslie 760,Pre 2025,Noisy,
Roland Keyboard Amp,Pre 2020,bad tweeter?,
Elka Multi-Channel Amp,Never,,
