QC Final,Wurli,
NAME:,David Gordon,
DATE:,,
MODEL:,140,
SERIAL NO:,,
Complete,0/20 completed  ,Notes
✓,Task,
FALSE,Tuning,
FALSE,Voicing/Tone,
FALSE,Volume,
FALSE,Key Bed,"Squaring, leveling, cleaning"
FALSE,Friction / Warping,
FALSE,Damper Drop,
FALSE,2x Hammers ,
FALSE,Cold Solderform,
FALSE,Regulation,
FALSE,Lazy Dampers,
FALSE,Hammers / Tips,
FALSE,Sustain Pedal / Cable,
FALSE,Legs,
FALSE,Potentiometers,
FALSE,Grounding Scheme,
FALSE,Shielding,
FALSE,Vibrato Sweep,
FALSE,Aux Output,Fixed / Variable
FALSE,Amp Hookup Wires / Terminals,
Final Sign Off,Signature,Additional Comments
1,,
2,,
3,,
