QC Round 1,Wurlitzer,
,,
,,
,,
,,
Complete,0/18 completed  ,Notes
✓,Task,
FALSE,Tuning,
FALSE,Voicing / Volume,
FALSE,Key Bed Level,
FALSE,Friction / Warping,
FALSE,Lazy Dampers,
FALSE,Damper Drop,
FALSE,2x Hammers ,
FALSE,Let Off /Check Off,
FALSE,Cold Solderform,
FALSE,Sustain Pedal / Cable,
FALSE,Legs,
FALSE,Potentiometers,
FALSE,Grounding Scheme,
FALSE,Shielding,
FALSE,Vibrato Sweep,
FALSE,Aux Output,
FALSE,Amplifier,
Final Sign Off,Signature,Additional Comments
1,,
2,,
