,,,,,,,
,,WURLI SERVICE EVALUATION,,"Chicago Electric Piano LLC
2608 N Cicero Ave #2R
Chicago, IL 60639",,"
Ph: (312) 476-9528
Em: info@chicagoelectricpiano.com
https://chicagoelectricpiano.com
",
NAME:,,,,"Please refer to our website for a complete overview of payment terms, cancellations, warranty information, and more at

http://chicagoelectricpiano.com/terms",,,
DATE:,,,,,,,
MODEL:,,200A,,,,,
SERIAL NO:,,,,,,,
,,,,,,,
,,Hourly Estimate (Range),,,,,
,Mechanical Service,Low,Avg,High,Parts?,Cost,Notes
FALSE,Rust/Oxidation Rating:    (Low - Med- High),,,,FALSE,,
FALSE,Reed Evaluation:,-,-,-,FALSE,,
FALSE,Tuning Touchup/Follow Up,1,1.5,2.5,FALSE,,
FALSE,Reed Replacement (each),0.1,0.25,0.5,FALSE,$20.00,
FALSE,Tuning (Med Detail),2,4,6,FALSE,,
FALSE,Tuning (Hi Detail),5,10,15,FALSE,,
FALSE,Pickup Condition:,,0.1,,FALSE,,
FALSE,Hammer Tips:,,,,FALSE,,
FALSE,Action Regulation:,,,,FALSE,,
FALSE,Key Bed:,,,,FALSE,,
FALSE,Bushing Felts:,,4,,FALSE,,
FALSE,Pedal (Cable/threading),,,,FALSE,,
,Electronics Services,Low,Avg,High,Parts?,Cost,Notes
FALSE,Pot Manual Cleaning:,0,0.25,0.5,FALSE,,
FALSE,CEP Lead Dress Wiring,0.75,1,1.25,FALSE,,
FALSE,CEP Ground Scheme:,0.75,1,1.25,FALSE,,
FALSE,Warneck Installation (Includes Ground+Lead Dress),1.5,2,2.5,FALSE,,
FALSE,IEC Installation,0.33,0.5,0.66,FALSE,,
FALSE,Shielding:,,,,FALSE,,
,Cosmetic Services,Low,Avg,High,Parts?,Cost,Notes
FALSE,Lid Painting,550,550,750-800 w/ pedal,FALSE,,
FALSE,Faceplate Replacement,0.25,0.33,0.75,FALSE,,
FALSE,Tray Refinish,2 hr,2.5 hr,3.5 hr ,FALSE,,
FALSE,Speaker Base Tolex & Grill,2.5,3.5,5,FALSE,,
FALSE,Leg Installation,0.5,0.66,1,FALSE,,
FALSE,Sustain,,,,FALSE,,
FALSE,Knobs,,,,FALSE,,
FALSE,"Accessories (Music stand, bench)",,,,FALSE,,
,Estimate Summary,Low Est:,Avg Est:,High Est:,,Parts Subtotal:,
,Total Hours:,,,,,,
,Hourly Service Rate:,135/hr.,135/hr.,135/hr.,,,
,Total Cost of Service Hours:,,,,,,Estimates: Every instrument is unique and it is impossible to know *exactly* how much time a repair or restoration will take. Estimates are based on our prior experience and we do our best to communicate them as accurately as possible before services begin. If a budget is limited to a specific amount please let us know before we begin services.
,Service + Parts Estimate:,,,,,,
